Netherlands,English
holly,Holly
wetenschapper,scientist
weduwe,widow
kanaal,channel
gemeld,reported
watje,wimp
dient,must
speech,speech
goedendag,Good day
versterking,strengthening
voorraad,stock
legaal,legal
bevat,contains
dollars,dollars
korporaal,corporal
overwegen,to consider
vee,cattle
metro,subway
afhankelijk,dependent
weigerde,refused
ricky,Ricky
speler,player
gereedschap,tools
mcgee,McGee
misbruik,abuse
besproken,discussed
aflevering,episode
chip,chip
barbara,Barbara
anthony,anthony
mobieltje,mobile
santa,Santa
japanse,Japanese
reclame,advertisement
combinatie,combination
behouden,retain
durven,to dare
gebouwen,buildings
goedmaken,make up
philip,Philip
verkrachting,rape
jersey,Jersey
pure,pure
weggelopen,walked away
opgeblazen,blown up
getraind,trained
illegale,illegal
website,website
firma,company
bloeden,bleed
schop,shovel
wiskunde,math
originele,original
ann,Ann
verwondingen,injuries
nest,nest
kostuum,costume
hoofdinspecteur,chief inspector
meg,meg
standaard,standard
zochten,sought
stok,stick
blaas,bladder
gloria,gloria
batman,batman
weigert,refusal
time,time
afspreken,to agree
hoofdkwartier,headquarters
hero√Øne,heroosition
gus,gus
bossen,forest
julian,Julian
verzeker,insure
rex,rex
zenuwen,nerve
vermoeden,suspect
noah,Noah
jonathan,Jonathan
hoofdstuk,chapter
symptomen,symptoms
samantha,Samantha
plekje,spot
bemoeien,interfere in
kern,core
behandelt,treats
bagage,luggage
gehele,whole
bay,Bay
castle,Castle
voorgesteld,suggested
jasje,jacket
begrip,concept
sowieso,anyway
braaf,Well behaved
opsluiten,lock up
gij,you
misverstand,misunderstanding
damon,Damon
laarzen,boots
dutch,Dutch
uitgevoerd,executed
borg,deposit
doodsoorzaak,cause of death
football,football
bevrijd,liberated
gewoonte,habit
nederlandse,Dutch
cirkel,circle
moordwapen,murder weapon
telefoons,Phones
boeren,farmers
gerucht,rumor
bijten,to bite
stone,stone
explosieven,explosives
motoren,engines
heather,Heather
miranda,Miranda
opzetten,to set up
trekker,tractor
vermoed,suspicion
von,von
internationale,International
lesje,lesson
blue,blue
wegkomen,getting away
flikker,flicker
collins,collins
craig,Craig
lager,lower
schoppen,kick
fans,fans
opereren,to operate
borrel,a drink
noemden,called
vanessa,Vanessa
seth,seth
kok,cook
dozen,Boxes
hoeren,whore
broodje,sandwich
zingt,sings
dieper,deeper
halloween,Halloween
diego,Diego
toestel,aircraft
happy,happy
belangrijks,important
hogere,higher
stevig,firm
hoeveelheid,quantity
waaraan,to which
hufter,bastard
ontworpen,designed
dankjewel,thank you
mamma,mamma
rots,rock
boer,farmer
buurman,neighbour
bouw,build
versieren,decorate
trevor,Trevor
ontploffen,explode
ochtends,in the morning
make-up,makeup
dumpen,to dump
gisterenavond,yesterday evening
gevuld,stuffed
klacht,complaint
bestond,existed
dodelijke,deadly
strategie,strategy
volhouden,to persevere
begaan,to commit
das,tie
informant,informant
verwerken,process
trouwt,gets married
halt,halt
auditie,audition
randy,Randy
lijdt,suffer
canada,Canada
draad,wire
ertoe,or
south,South
uitgeput,exhausted
pikken,peck
ellie,Ellie
ruimen,strike
inzet,stake
haren,hair
slaaf,slave
tara,Tara
schreeuw,shout
koninklijke,royal
lage,low
liepen,walked
bewerkt,edited
concentreer,concentrate
zaal,room
jarig,birthday
grapjes,jokes
piano,piano
finn,Finn
ontwikkeld,developed
ronnie,Ronnie
l.a.,la.
kou,cold
vaardigheden,skills
gestraft,punished
omdraaien,turn around
besmet,contaminated
spoedig,rapidly
beurs,scholarship
schietpartij,shooting
opblazen,to blow up
vergiftigd,poisoned
leerling,pupil
algemeen,generally
zonen,sons
ongemakkelijk,uncomfortable
indien,if
prooi,prey
bevindt,in
aankomt,arrives
uitgang,Exit
jongedame,young lady
goedkope,cheap
bewaking,monitoring
franklin,Franklin
huil,cry
kurt,curt
lauren,Lauren
barney,Barney
klimmen,to climb
uitkomt,comes out
spelers,players
bijt,bite
schreeuwde,screamed
professionele,professional
bestanden,files
joan,Joan
voordeur,front door
slaven,slave
dana,Dana
regelmatig,regularly
mysterieuze,mysterious
doorgeven,pass along
modder,mud
ned,Ned
kroon,Crown
maffia,mafia
functie,function
verward,confused
veranderingen,changes
sectie,section
vreugde,joy
serieuze,serious
nuchter,sober
typisch,typical
rechtszaal,courtroom
overdreven,overdone
beu,sick of
buitenaardse,alien
vergelijken,to compare
gabriel,Gabriel
nagels,nails
neal,Neal
melissa,Melissa
mel,mel
louise,Louise
telefoonnummer,phone number
snij,cut
rory,Rory
droomde,dream
zeep,soap
accent,accent
gefaald,failed
drie√´n,three
werknemers,employees
krachtig,powerful
cli√´nten,climid
geneukt,fucked
bronnen,sources
zelden,seldom
falen,to fail
congres,Congress
verlof,leave of absence
stefan,Stefan
secretaresse,secretary
schouders,shoulders
that,That
christopher,Christopher
afleiding,distraction
schakelen,to change gear
gestoorde,disturbed
jungle,jungle
juwelen,jewellery
felix,Felix
riem,Belt
geleefd,lived
oproepen,to call to action
schoen,shoe
colin,Colin
opgevallen,noticed
phoebe,Phoebe
herhalen,to repeat
relax,relaxed
exact,exactly
enge,scary
caesar,Caesar
alison,Alison
avenue,avenue
troost,consolation
aangeklaagd,sued
shaw,shaw
verre,far -reaching
hakken,heels
gewapende,armed
oktober,October
uniek,unique
professioneel,professional
recente,recent
duw,push
coca√Øne,Cocaosition
opsporen,track down
lek,leak
ralph,Ralph
cellen,cell
teams,teams
allemachtig,good Lord
kenden,know
voetbal,football
achternaam,last name
levenslang,lifetime
defensie,defence
bond,union
turner,gymnast
curtis,Curtis
earl,earl
afghanistan,Afghanistan
opent,opens
parkeerplaats,parking spot
grazen,graze
ambassade,embassy
verdragen,treaties
simpson,Simpson
bloem,flower
vrijwillig,voluntarily
geobsedeerd,obsessed
pierce,pierce
pleegde,committed
bloedt,bleeding
lets,litry
regelt,arranges
aanvaard,accepted
kalmeren,to calm down
hersteld,recovered
veronica,veronica
tijger,Tiger
monsieur,monsieur
overeind,upright
karl,Karl
klop,pink
wenst,wish
brooke,brooke
stille,quiet
spaans,Spanish
terugkwam,returned
pet,cap
bud,buddy
kleintje,Shorty
kwartier,fifteen minutes
amerikaans,American
rita,Rita
doorgaat,continues
verblijf,stay
script,script
sandra,sandra
chase,chase
innemen,to take
tekort,shortage
ritje,ride
porno,porn
vrouwtje,female
tof,cool
streng,strict
grootmoeder,grandmother
britten,British
clown,clown
loyaliteit,loyalty
zweet,sweat
cultuur,culture
tiener,teenager
wijf,female
doorstaan,to endure
gina,gina
tracy,tracy
drijven,to conduct
plots,suddenly
verhouding,ratio
geladen,charged
totale,total
fransen,French
respecteren,to respect
doorzocht,searched
beledigd,offended
gebeten,bitten
verstop,hidden
co√∂rdinaten,co -∂rdinates
complete,complete
beleid,policy
detail,detail
wallace,wallace
apparatuur,equipment
achterhalen,track down
voortdurend,continual
scholen,schools
traceren,trace
praktijk,practice
bewijsmateriaal,evidence
smeris,score
seksueel,sexual
klappen,clap
keken,look
verstaan,to hear
troon,throne
elkaars,each other's
verrassen,to surprise
bedank,thank
kwijtgeraakt,lost
warren,boot
liefst,sweetest
for,for
bevolking,population
verbeteren,improve
trauma,trauma
elektrische,electric
cowboy,cowboy
engelen,angel
stuart,stuart
bitch,Bitch
salaris,salary
voortaan,henceforth
bruin,brown
emotionele,emotional
blank,White
lamp,lamp
district,district
vermoorde,murdered
arrest,judgment
bishop,bishop
elliot,elliot
stoer,tough
verklaar,explain
banen,job
lente,spring
palmer,palmer
geniaal,genial
be√´indigen,be called
achteraan,at the back
dekken,cover
lake,lake
onbeleefd,impolite
bestand,file
machines,machines
radar,radar
anderson,Anderson
extreem,extreme
ingebroken,broke into
militair,military
gebruikten,used
morgens,in the morning
getuigenis,testimony
bod,bidding
gebakken,fried
stapel,pile
jen,jen
misselijk,nauseous
front,front
bingo,bingo
wolven,wolves
plaat,plate
rob,Rob
paus,Pope
overdag,during the day
sandy,Sandy
beschuldigen,to blame
lex,lex
getest,tested
treffen,find
succesvol,successful
opening,opening
terrorist,terrorist
dale,dale
heksen,witch
politiebureau,police station
beroven,to rob
schaal,dish
reageerde,responded
ontsnapte,escaped
verschijnen,to appear
janet,Janet
maart,March
nicky,Nicky
insecten,insect
schok,shock
zeldzaam,rare
sydney,Sydney
ford,Ford
seattle,Seattle
kritiek,criticism
smeken,to beg
put,well
superman,superman
ontbreekt,is missing
vietnam,Vietnam
bijeen,together
besparen,to spare
naaien,sew
offer,quotation
mia,Mia
naomi,Naomi
autopsie,autopsy
manny,manny
zowat,just about
sebastian,Sebastian
eve,Eve
verse,fresh
zwaartekracht,gravity
vanwaar,whereas
stevie,stevie
helm,helmet
jill,Jill
gesneden,cut
sue,Sue
regent,is raining
verhoor,interrogation
riskant,risky
dieven,thieves
leerlingen,pupils
natalie,Natalie
inzetten,to stake
opstand,revolt
schild,shield
sukkels,losers
zinloos,meaningless
versta,understand
mannelijke,male
verkiezingen,elections
fysiek,physically
paradijs,paradise
actrice,actress
jager,Hunter
leiders,leaders
katherine,katherine
staf,staff
aanklagen,to sue
toezicht,supervision
geluisterd,listened
lichte,light
activiteiten,activities
nutteloos,useless
apen,apes
moskou,Moscow
sokken,sock
opgezet,set
bailey,Bailey
onzichtbaar,invisible
echo,echo
wonderen,miracles
luid,loud
straling,radiation
jenna,Jenna
beseffen,to realize
nichtje,cousin
boeien,fascinate
behoort,belongs
charmant,charming
planeten,planets
daag,bye
verslaafd,addicted
voorkeur,preference
genaaid,sewn
vredesnaam,peace
kwade,evil
brandon,Brandon
noodzakelijk,necessary
vic,vic
gebeden,pray
tovenaar,wizard
prijzen,Prices
gemene,unemployed
ontwikkelen,to develop
boyd,boyd
ademt,breathe
stapte,stepped
technische,technical
dawson,Dawson
praktisch,practically
circus,circus
ongeval,accident
teruggeven,return
protocol,protocol
schut,fantastic
biologische,biological
duidelijkheid,clarity
rondje,round
checken,check
doordat,because
blair,blair
bruine,brown
klaarmaken,prepare
leed,sorrow
marge,margin
schijn,appearance
brooklyn,Brooklyn
infectie,infection
zack,zack
dagelijks,daily
voert,feeds
mislukt,failed
duits,German
stapt,steps
daarnet,just like that
bedekt,covered
becky,Becky
opwindend,exciting
zogenaamde,so-called
baker,baker
ogenblikje,just a moment
amber,amber
autoriteiten,authorities
medicatie,medication
ontploft,explodes
contacten,contacts
operaties,operations
manhattan,Manhattan
raketten,missiles
prioriteit,priority
special,special
intelligent,intelligent
lawrence,Lawrence
therapeut,therapist
huilt,cries
koper,buyer
vervloekt,accursed
tegenstander,opponent
satelliet,satellite
afnemen,to decrease
uitleg,explanation
kofferbak,trunk
fascinerend,fascinating
grand,grand
service,service
schuilplaats,hideout
schilderen,to paint
mekaar,eachother
boekje,booklet
hope,Hope
kruipen,crawl
tempo,pace
depressief,depressed
huisje,house
cameron,cameron
shock,shock
joodse,Jewish
afgeleid,derived
product,product
passagiers,passengers
aanpassen,to adjust
parano√Øde,Parano appe
uitmaakt,Makes
ongetwijfeld,doubtless
aankwam,arrived
overlevenden,survivors
bestemming,destination
gewelddadig,violent
winkelcentrum,mall
doyle,Doyle
sparen,save
spreuk,spell
papierwerk,paperwork
burke,Burke
tandarts,dentist
analyse,analysis
menigte,crowd
baard,beard
oppas,babysit
goeiemorgen,Good morning
ceremonie,ceremony
omgekomen,killed
bakken,baking
kennedy,Kennedy
officieren,officers
verknald,upset
vrijwel,virtually
hanna,Hanna
vergif,poison
mariniers,Marines
scan,scan
tenen,toes
tegelijkertijd,at the same time
gene,gene
beschrijven,to describe
daphne,daphne
beach,Beach
shawn,Shawn
east,East
eenzame,lonely
chips,potato chips
grootte,size
freddy,Freddy
verrot,rotten
gezonde,healthy
luxe,luxury
pijp,pipe
caleb,Caleb
duncan,Duncan
afgenomen,decreased
nikki,Nikki
huilde,crying
vampiers,vampires
speelden,played
bekijkt,view
veertig,forty
terugkeer,return
oprecht,sincerely
maten,sizes
gelegen,convenient
verzekeren,to ensure
vergunning,permit
geschorst,suspended
werelden,worlds
geleend,borrowed
alvast,already
pil,pill
beschermde,protected
oppassen,to watch out
ego√Østisch,ego Østic
serena,Serena
uitnodigen,to invite
nucleaire,nuclear
verklaard,explained
winston,Winston
ofzo,or so
minuutje,minute
uitstappen,to get off
your,Your
dadelijk,immediately
noord,north
vastgebonden,tied up
graham,graham
woody,Woody
italiaanse,Italian
eikels,acorns
hunter,Hunter
gijzelaars,hostage
mazzel,muzzle
blinde,blind
lost,unloading
lijkschouwer,coroner
naald,needle
vreemden,strangers
koeien,cows
pan,pan
heilig,holy
sterkste,strongest
leon,leon
lukte,succeeded
wachtwoord,password
wyatt,wyatt
patty,patty
instinct,instinct
harrison,Harrison
beperkt,limited
hamer,hammer
bewaken,to guard
slaag,clever
adams,Adams
leeuw,lion
wisselen,to switch
metaal,metal
creditcard,credit card
jarenlang,for years
troy,Troy
staal,steel
chemische,chemical
zeuren,to moan
sector,sector
vreemds,strange
rondlopen,walk around
rosie,rosie
g√™nant,G ™ NANT
acties,actions
tuig,rig
genoten,enjoyed
toast,toast
getroffen,affected
zach,sach
herinnerde,remembered
reeds,already
tegenstelling,contrast
gekken,fool
transport,transport
communiceren,to communicate
koppig,stubbornly
benny,Benny
clyde,Clyde
deken,blanket
doelen,goals
hobby,hobby
lening,loan
schei,criminal
vroege,early
rebellen,rebel
natie,nation
figuur,figure
nakijken,check
buck,buck
redding,rescue
kirk,kirk
alhoewel,although
verbazingwekkend,astonishing
kira,Kira
beschouw,conscious
bell,Bell
atmosfeer,atmosphere
lachte,laughs
twijfelen,to doubt
examen,exam
aantrekken,attract
jagers,hunters
kalkoen,turkey
huwelijksreis,honeymoon
elektriciteit,electricity
marco,Marco
steeg,alley
wodka,vodka
warmte,heat
verdere,further
kwaliteit,quality
uitstekende,excellent
rotsen,rock
watson,Watson
tragedie,tragedy
haley,Haley
doorgebracht,spent
pat,pat
politieman,police officer
simply,simply
koppel,couple
tumor,tumor
appel,Apple
christine,Christine
treden,step
wolken,clouds
donald,Donald
gevlucht,escaped
stam,tribe
straal,Ray
liedjes,songs
dwong,forced
poten,mates
afvragen,questioning
uitgevonden,invented
gitaar,guitar
verzin,might
terugbellen,call back
kletsen,to chatter
uitzondering,exception
plaatselijke,local
trui,sweater
organiseren,to organize
compliment,compliment
minnaar,lover
enterprise,enterprise
kudde,herd
hierna,after this
neuk,fuck
nora,nora
adviseur,counselor
opgehaald,fetched
zesde,sixth
aankan,can
muis,mouse
lieveling,Darling
respecteer,respect
spieren,muscles
haak,hook
aangetrokken,attracted
violet,violet
world,world
wijsheid,wisdom
herstel,repair
nachtmerries,nightmares
connectie,connection
cam,cam
gehoopt,hoped
ticket,ticket
eenvoudige,simple
blanken,whites
harten,heart
verzorgen,to nurse
gedicht,poem
inzien,see
freddie,Freddie
kap,hood
knal,pop
intussen,meanwhile
kleinzoon,grandson
verzetten,to postpone
jaagt,hunts
grey,grey
eis,requirement
buitenland,abroad
ongeacht,regardless of
krijt,chalk
oven,oven
gps,GPS
januari,January
benjamin,Benjamin
roos,rose
leuks,fun
denise,Denise
zachte,soft
douglas,Douglas
air,air
grondig,thorough
bestuurder,Director
vallei,valley
aanvaarden,to accept
heden,today
hieraan,here
achtervolgen,Chase
database,database
weddenschap,bet
australi√´,Australi and
achterlijk,retarded
vereerd,honored
receptie,front desk
stoort,disturb
jessie,Jessie
holmes,holes
menu,menu
opende,open
klere,clog
klooster,monastery
oogje,eye
voorstelling,presentation
gestaan,stood
barnes,Barnes
gebeurtenis,event
hoofden,heads
balans,balance
uitspraak,pronunciation
logeren,to stay
schrik,fright
medewerkers,staff
times,times
tatoeage,tattoo
visioen,vision
dealer,dealer
nieuwste,newest
dekmantel,cover
scheppen,scoop
guy,Guy
overtuigend,convincing
specifiek,specifically
stark,Stark
knopen,knot
day,day
ranch,ranch
boter,butter
golven,waves
belasting,tax
ridder,knight
tanks,tanks
bezoekers,visitors
waaronder,under which
gewoond,lived
speciaals,specialty
mick,mick
diploma,diploma
liter,liter
ontwikkeling,development
wandeling,walk
handboeien,handcuff
zielige,pathetic
inwoners,inhabitants
out,out
stoere,tough
lance,lance
garcia,Garcia
rechterhand,right hand
geluiden,noises
achterdeur,back door
mode,fashion
afspraken,dates
groepen,groups
teleur,disappoint
behandel,treatment
banken,banks
hecht,close
springt,jumps
rosco,rosco
blonde,blonde
ex-vrouw,ex-wife
unieke,unique
litteken,scar
tapijt,carpet
kunstenaar,artist
flessen,bottle
blond,blond
systemen,systems
schurk,rogue
claudia,Claudia
teleurstellen,disappoint
sullivan,sullivan
termijn,term
eindigde,ended up
beschrijving,description
onderschat,underestimated
kloten,loser
slangen,snakes
nader,further
rent,run
gebieden,areas
morris,Morris
alpha,alpha
publieke,public
maatschappij,society
opletten,pay attention
positieve,positive
vette,oily
romantische,romantic
organen,organs
pierre,pierre
beledigen,to offend
loser,loser
cake,Cake
bestuderen,study
stort,dump
stalen,steel
robbie,Robbie
harvard,Harvard
cindy,cindy
varkens,pork
verberg,hidden
drew,Drew
spook,ghost
hierop,here
ezel,donkey
jongeren,young people
ge√Ødentificeerd,geoided
diagnose,diagnosis
geroepen,convened
kijkje,look
spijtig,regrettably
duim,thumb
vertelden,tell
tientallen,tens
economie,economy
weerstaan,to resist
gebruikelijke,usual
gigantische,giant
finale,final
kitty,kitty
gezegend,blessed
directe,direct
gewist,deleted
beweren,to claim
hechtenis,custody
raadsel,puzzle
langzamer,slower
waardeloze,hellless
spionnen,spy
piper,piper
stoelen,chair
beschaving,civilization
erna,afterwards
bedriegen,to cheat
foute,wrong
oranje,Orange
verbind,connect
wijk,neighbourhood
traag,slow
eeuwigheid,eternity
eerlijkheid,honesty
woonkamer,living room
hot,hot
bereiden,prepare
vreemdeling,stranger
goedgekeurd,approved
serveerster,Waitress
fysieke,physical
dappere,brave
thompson,Thompson
omkleden,get changed
sire,Sire
haai,shark
klaus,claus
ademhalen,breathe
zakenman,businessman
geopereerd,had surgery
grijze,gray
daten,to date
kwijtraken,lose
lengte,length
vereist,required
lijnen,lines
houston,Houston
isaac,Isaac
ontwerp,design
betrekken,involve
ongewoon,unusual
elders,elsewhere
duister,fiddling
bepaalt,determines
zilveren,silver
ondervraagd,interrogated
handdoek,towel
expres,deliberately
luchthaven,airport
lerares,female teacher
origineel,original
dosis,dose
e-mails,e-mails
machtig,powerful
voegen,add
mietje,sissy
gekust,kissed
inhoud,contents
ego,ego
nare,nasty
waardevol,valuable
voorkant,front
hopeloos,hopeless
afgemaakt,finished
avondeten,evening meal
uiterste,extreme
spaanse,Spanish
realiseer,realize
lindsay,Lindsay
blad,sheet
geel,yellow
bewaakt,guarded
negeer,Ignore
snor,Moustache
eed,oath
klopte,beat
academie,academy
afzetten,to take off
gewassen,crops
verlopen,expired
voorouders,ancestors
dreiging,threat
linker,left
tucker,Tucker
griffin,griffin
jeffrey,Jeffrey
lydia,Lydia
record,record
vertrouwd,trusted
dieet,diet
hoorzitting,hearing
bliksem,lightning
knoop,button
duwde,pushed
revolver,revolver
wissen,to clear
flynn,Flynn
supermarkt,supermarket
gevechten,battles
ploeg,team
fisher,Fisher
voormalige,former
samenzwering,conspiracy
kappen,cut
zachtjes,gently
clara,clara
handje,hand
stadje,town
lakens,sheets
tieners,teenagers
vrijgezel,Single
beschoten,shot
campbell,Campbell
boeit,fascinate
voorwaarde,condition
carmen,carmen
hiernaast,in addition
instappen,to get in
fox,Fox
geweigerd,refused
schilderijen,paintings
mandy,mandy
gestudeerd,studied
silver,Silver
activiteit,activity
opgeroepen,called
uurtje,hour
match,match
zilver,silver
medaille,medal
stoute,naughty
sid,Sid
weetje,do you know
letters,letters
pappie,daddy
doodstraf,capital punishment
herrie,noise
principe,principle
leve,Long live
girl,girl
samenwerking,cooperation
microfoon,microphone
bewonder,admire
pissen,piss
fris,fresh
perry,Perry
sperma,sperm
reeks,set
oneerlijk,unfair
dergelijke,of such
boten,Boats
flash,flash
mol,mole
zonsondergang,sunset
afwachten,wait
saus,sauce
ivan,Ivan
borden,plates
ruby,Ruby
campus,campus
seriemoordenaar,serial killer
olifant,elephant
grof,course
bevatten,contain
t-shirt,T-shirt
geboekt,booked
hai,hai
verrassingen,surprises
munt,mint
blut,bright
geschokt,shocked
agressief,aggressive
vest,vest
rondhangen,hanging around
cody,cody
merkte,noticed
vrezen,fear
psychopaat,psychopath
aanpak,approach
hemd,shirt
queen,queen
overdosis,overdose
bonen,bean
stella,Stella
hunt,hunt
